values,unit,isced11,sex,geo,time
,NR,ED1,T,TR51,2018
,NR,ED1,T,TR52,2018
,NR,ED1,T,TR61,2018
,NR,ED1,T,TR62,2018
,NR,ED1,T,TR63,2018
,NR,ED1,T,TR71,2018
,NR,ED1,T,TR72,2018
,NR,ED1,T,TR81,2018
,NR,ED1,T,TR82,2018
,NR,ED1,T,TR83,2018
,NR,ED1,T,TR90,2018
,NR,ED1,T,TRA1,2018
,NR,ED1,T,TRA2,2018
,NR,ED1,T,TRB1,2018
,NR,ED1,T,TRB2,2018
,NR,ED1,T,TRC1,2018
,NR,ED1,T,TRC2,2018
,NR,ED1,T,TRC3,2018
10812.0,NR,ED2,T,AT11,2018
65663.0,NR,ED2,T,AT12,2018
70935.0,NR,ED2,T,AT13,2018
21038.0,NR,ED2,T,AT21,2018
44796.0,NR,ED2,T,AT22,2018
59056.0,NR,ED2,T,AT31,2018
22287.0,NR,ED2,T,AT32,2018
29357.0,NR,ED2,T,AT33,2018
17309.0,NR,ED2,T,AT34,2018
0.0,NR,ED2,T,ATZZ,2018
66157.0,NR,ED2,T,BE10,2018
67823.0,NR,ED2,T,BE21,2018
29278.0,NR,ED2,T,BE22,2018
52847.0,NR,ED2,T,BE23,2018
36570.0,NR,ED2,T,BE24,2018
39408.0,NR,ED2,T,BE25,2018
12023.0,NR,ED2,T,BE31,2018
55785.0,NR,ED2,T,BE32,2018
38915.0,NR,ED2,T,BE33,2018
11737.0,NR,ED2,T,BE34,2018
18147.0,NR,ED2,T,BE35,2018
0.0,NR,ED2,T,BEZZ,2018
23039.0,NR,ED2,T,BG31,2018
21046.0,NR,ED2,T,BG32,2018
26664.0,NR,ED2,T,BG33,2018
33483.0,NR,ED2,T,BG34,2018
56910.0,NR,ED2,T,BG41,2018
39396.0,NR,ED2,T,BG42,2018
0.0,NR,ED2,T,BGZZ,2018
54062.0,NR,ED2,T,CH01,2018
56307.0,NR,ED2,T,CH02,2018
34047.0,NR,ED2,T,CH03,2018
42413.0,NR,ED2,T,CH04,2018
35303.0,NR,ED2,T,CH05,2018
24041.0,NR,ED2,T,CH06,2018
9952.0,NR,ED2,T,CH07,2018
0.0,NR,ED2,T,CHZZ,2018
26826.0,NR,ED2,T,CY00,2018
45601.0,NR,ED2,T,CZ01,2018
49822.0,NR,ED2,T,CZ02,2018
45887.0,NR,ED2,T,CZ03,2018
44270.0,NR,ED2,T,CZ04,2018
57890.0,NR,ED2,T,CZ05,2018
62921.0,NR,ED2,T,CZ06,2018
46256.0,NR,ED2,T,CZ07,2018
45789.0,NR,ED2,T,CZ08,2018
0.0,NR,ED2,T,CZZZ,2018
63182.0,NR,ED2,T,DK01,2018
37978.0,NR,ED2,T,DK02,2018
55775.0,NR,ED2,T,DK03,2018
58556.0,NR,ED2,T,DK04,2018
24959.0,NR,ED2,T,DK05,2018
0.0,NR,ED2,T,DKZZ,2018
39280.0,NR,ED2,T,EE00,2018
110148.0,NR,ED2,T,EL30,2018
5865.0,NR,ED2,T,EL41,2018
11434.0,NR,ED2,T,EL42,2018
22178.0,NR,ED2,T,EL43,2018
18160.0,NR,ED2,T,EL51,2018
57507.0,NR,ED2,T,EL52,2018
8206.0,NR,ED2,T,EL53,2018
9041.0,NR,ED2,T,EL54,2018
21521.0,NR,ED2,T,EL61,2018
6780.0,NR,ED2,T,EL62,2018
20468.0,NR,ED2,T,EL63,2018
15516.0,NR,ED2,T,EL64,2018
16479.0,NR,ED2,T,EL65,2018
0.0,NR,ED2,T,ELZZ,2018
77768.0,NR,ED2,T,ES11,2018
27815.0,NR,ED2,T,ES12,2018
18790.0,NR,ED2,T,ES13,2018
72331.0,NR,ED2,T,ES21,2018
22390.0,NR,ED2,T,ES22,2018
10854.0,NR,ED2,T,ES23,2018
43012.0,NR,ED2,T,ES24,2018
232040.0,NR,ED2,T,ES30,2018
70553.0,NR,ED2,T,ES41,2018
81645.0,NR,ED2,T,ES42,2018
42551.0,NR,ED2,T,ES43,2018
264907.0,NR,ED2,T,ES51,2018
174691.0,NR,ED2,T,ES52,2018
41109.0,NR,ED2,T,ES53,2018
331804.0,NR,ED2,T,ES61,2018
59844.0,NR,ED2,T,ES62,2018
4634.0,NR,ED2,T,ES63,2018
4485.0,NR,ED2,T,ES64,2018
81063.0,NR,ED2,T,ES70,2018
0.0,NR,ED2,T,ESZZ,2018
18273241.0,NR,ED2,T,EU27_2020,2018
20961116.0,NR,ED2,T,EU28,2018
45485.0,NR,ED2,T,FI19,2018
53699.0,NR,ED2,T,FI1B,2018
36688.0,NR,ED2,T,FI1C,2018
44654.0,NR,ED2,T,FI1D,2018
942.0,NR,ED2,T,FI20,2018
0.0,NR,ED2,T,FIZZ,2018
621981.0,NR,ED2,T,FR10,2018
128290.0,NR,ED2,T,FRB0,2018
76279.0,NR,ED2,T,FRC1,2018
59543.0,NR,ED2,T,FRC2,2018
72065.0,NR,ED2,T,FRD1,2018
96288.0,NR,ED2,T,FRD2,2018
217435.0,NR,ED2,T,FRE1,2018
100708.0,NR,ED2,T,FRE2,2018
91020.0,NR,ED2,T,FRF1,2018
64941.0,NR,ED2,T,FRF2,2018
109372.0,NR,ED2,T,FRF3,2018
201975.0,NR,ED2,T,FRG0,2018
168694.0,NR,ED2,T,FRH0,2018
159239.0,NR,ED2,T,FRI1,2018
31303.0,NR,ED2,T,FRI2,2018
84853.0,NR,ED2,T,FRI3,2018
134697.0,NR,ED2,T,FRJ1,2018
140347.0,NR,ED2,T,FRJ2,2018
