values,indic_de,unit,geo,time
51.7,MEDAGEPOP,YR,DED2C,2019
53.0,MEDAGEPOP,YR,DED2D,2019
51.3,MEDAGEPOP,YR,DED2E,2019
50.7,MEDAGEPOP,YR,DED2F,2019
48.0,MEDAGEPOP,YR,DED41,2019
52.4,MEDAGEPOP,YR,DED42,2019
51.5,MEDAGEPOP,YR,DED43,2019
52.9,MEDAGEPOP,YR,DED44,2019
52.1,MEDAGEPOP,YR,DED45,2019
39.5,MEDAGEPOP,YR,DED51,2019
51.1,MEDAGEPOP,YR,DED52,2019
51.0,MEDAGEPOP,YR,DED53,2019
53.6,MEDAGEPOP,YR,DEE01,2019
43.9,MEDAGEPOP,YR,DEE02,2019
45.1,MEDAGEPOP,YR,DEE03,2019
51.0,MEDAGEPOP,YR,DEE04,2019
52.5,MEDAGEPOP,YR,DEE05,2019
51.8,MEDAGEPOP,YR,DEE06,2019
50.3,MEDAGEPOP,YR,DEE07,2019
52.4,MEDAGEPOP,YR,DEE08,2019
52.4,MEDAGEPOP,YR,DEE09,2019
53.7,MEDAGEPOP,YR,DEE0A,2019
50.9,MEDAGEPOP,YR,DEE0B,2019
52.4,MEDAGEPOP,YR,DEE0C,2019
51.8,MEDAGEPOP,YR,DEE0D,2019
53.2,MEDAGEPOP,YR,DEE0E,2019
41.3,MEDAGEPOP,YR,DEF01,2019
39.8,MEDAGEPOP,YR,DEF02,2019
46.2,MEDAGEPOP,YR,DEF03,2019
46.1,MEDAGEPOP,YR,DEF04,2019
49.3,MEDAGEPOP,YR,DEF05,2019
47.5,MEDAGEPOP,YR,DEF06,2019
48.7,MEDAGEPOP,YR,DEF07,2019
51.5,MEDAGEPOP,YR,DEF08,2019
47.0,MEDAGEPOP,YR,DEF09,2019
50.6,MEDAGEPOP,YR,DEF0A,2019
48.7,MEDAGEPOP,YR,DEF0B,2019
48.6,MEDAGEPOP,YR,DEF0C,2019
46.8,MEDAGEPOP,YR,DEF0D,2019
48.6,MEDAGEPOP,YR,DEF0E,2019
47.9,MEDAGEPOP,YR,DEF0F,2019
44.2,MEDAGEPOP,YR,DEG01,2019
52.3,MEDAGEPOP,YR,DEG02,2019
39.2,MEDAGEPOP,YR,DEG03,2019
54.7,MEDAGEPOP,YR,DEG04,2019
44.2,MEDAGEPOP,YR,DEG05,2019
48.3,MEDAGEPOP,YR,DEG06,2019
50.7,MEDAGEPOP,YR,DEG07,2019
50.2,MEDAGEPOP,YR,DEG09,2019
52.4,MEDAGEPOP,YR,DEG0A,2019
51.4,MEDAGEPOP,YR,DEG0B,2019
50.0,MEDAGEPOP,YR,DEG0C,2019
50.4,MEDAGEPOP,YR,DEG0D,2019
50.7,MEDAGEPOP,YR,DEG0E,2019
50.0,MEDAGEPOP,YR,DEG0F,2019
49.8,MEDAGEPOP,YR,DEG0G,2019
52.3,MEDAGEPOP,YR,DEG0H,2019
53.1,MEDAGEPOP,YR,DEG0I,2019
51.1,MEDAGEPOP,YR,DEG0J,2019
51.8,MEDAGEPOP,YR,DEG0K,2019
53.8,MEDAGEPOP,YR,DEG0L,2019
53.7,MEDAGEPOP,YR,DEG0M,2019
49.1,MEDAGEPOP,YR,DEG0N,2019
50.9,MEDAGEPOP,YR,DEG0P,2019
33.8,MEDAGEPOP,YR,DK011,2019
41.1,MEDAGEPOP,YR,DK012,2019
46.2,MEDAGEPOP,YR,DK013,2019
52.2,MEDAGEPOP,YR,DK014,2019
43.9,MEDAGEPOP,YR,DK021,2019
46.8,MEDAGEPOP,YR,DK022,2019
